dataType,displayName,id,length,name,readOnly
string,Company Name,2,255,company,FALSE
string,Site,3,255,site,FALSE
text,Billing Address,4,,billingStreet,FALSE
string,Billing City,5,255,billingCity,FALSE
string,Billing State,6,255,billingState,FALSE
string,Billing Country,7,255,billingCountry,FALSE
string,Billing Postal Code,8,255,billingPostalCode,FALSE
url,Website,9,255,website,FALSE
string,Main Phone,10,255,mainPhone,FALSE
currency,Annual Revenue,13,,annualRevenue,FALSE
integer,Num Employees,14,,numberOfEmployees,FALSE
string,Industry,15,255,industry,FALSE
string,SIC Code,16,40,sicCode,FALSE
text,Company Notes,18,,mktoCompanyNotes,FALSE
integer,Id,39,,id,FALSE
string,Full Name,40,255,mktoName,TRUE
string,Person Type,41,50,personType,FALSE
boolean,Is Partner,43,,mktoIsPartner,FALSE
boolean,Is Lead,44,,isLead,FALSE
boolean,Is Customer,45,,mktoIsCustomer,FALSE
boolean,Is Anonymous,46,,isAnonymous,FALSE
string,Salutation,47,255,salutation,FALSE
string,First Name,48,255,firstName,FALSE
string,Middle Name,49,255,middleName,FALSE
string,Last Name,50,255,lastName,FALSE
email,Email Address,51,255,email,FALSE
phone,Phone Number,52,255,phone,FALSE
phone,Mobile Phone Number,53,255,mobilePhone,FALSE
phone,Fax Number,54,255,fax,FALSE
string,Job Title,57,255,title,FALSE
reference,Contact Company,58,,contactCompany,TRUE
date,Date of Birth,59,,dateOfBirth,FALSE
text,Address,60,,address,FALSE
string,City,61,255,city,FALSE
string,State,62,255,state,FALSE
string,Country,63,255,country,FALSE
string,Postal Code,64,255,postalCode,FALSE
string,Original Source Type,66,255,originalSourceType,TRUE
string,Original Source Info,67,2000,originalSourceInfo,TRUE
string,Registration Source Type,68,255,registrationSourceType,FALSE
string,Registration Source Info,69,2000,registrationSourceInfo,FALSE
string,Original Search Engine,70,255,originalSearchEngine,TRUE
string,Original Search Phrase,71,255,originalSearchPhrase,TRUE
url,Original Referrer,72,255,originalReferrer,TRUE
boolean,Email Invalid,73,,emailInvalid,FALSE
string,Email Invalid Cause,74,255,emailInvalidCause,FALSE
boolean,Unsubscribed,75,,unsubscribed,FALSE
string,Unsubscribed Reason,77,2000,unsubscribedReason,FALSE
boolean,Do Not Call,78,,doNotCall,FALSE
string,Do Not Call Cause,79,255,mktoDoNotCallCause,FALSE
string,Do Not Call Reason,80,2000,doNotCallReason,FALSE
text,Person Notes,85,,mktoPersonNotes,FALSE
string,Anonymous IP,99,255,anonymousIP,FALSE
string,Inferred Company,100,255,inferredCompany,TRUE
string,Inferred Country,101,255,inferredCountry,TRUE
string,Inferred City,102,255,inferredCity,TRUE
string,Inferred State Region,103,255,inferredStateRegion,TRUE
string,Inferred Postal Code,104,255,inferredPostalCode,TRUE
string,Inferred Metropolitan Area,105,255,inferredMetropolitanArea,TRUE
string,Inferred Phone Area Code,106,255,inferredPhoneAreaCode,TRUE
string,Department,122,255,department,FALSE
datetime,Created At,126,,createdAt,TRUE
datetime,Updated At,127,,updatedAt,TRUE
string,Cookies,132,255,cookies,FALSE
reference,Lead Person,135,,leadPerson,TRUE
string,Role,137,50,leadRole,FALSE
string,Lead Source,138,255,leadSource,FALSE
string,Lead Status,139,255,leadStatus,FALSE
integer,Lead Score,140,,leadScore,FALSE
float,Urgency,141,,urgency,FALSE
integer,Priority,142,,priority,FALSE
integer,Relative Score,143,,relativeScore,FALSE
integer,Relative Urgency,144,,relativeUrgency,FALSE
string,Lead Rating,154,255,rating,FALSE
reference,Primary Lead Interest,173,,personPrimaryLeadInterest,TRUE
reference,Lead Partition,437,,leadPartitionId,FALSE
reference,Lead Revenue Cycle Model ID,443,,leadRevenueCycleModelId,FALSE
reference,Lead Revenue Stage ID,445,,leadRevenueStageId,FALSE
string,Marketo Social Gender,492,255,gender,FALSE
string,Marketo Social Facebook Display Name,493,255,facebookDisplayName,FALSE
string,Marketo Social Twitter Display Name,494,255,twitterDisplayName,FALSE
string,Marketo Social LinkedIn Display Name,495,255,linkedInDisplayName,FALSE
string,Marketo Social Facebook Profile URL,497,2000,facebookProfileURL,FALSE
string,Marketo Social Twitter Profile URL,498,2000,twitterProfileURL,FALSE
string,Marketo Social LinkedIn Profile URL,499,2000,linkedInProfileURL,FALSE
string,Marketo Social Facebook Photo URL,501,2000,facebookPhotoURL,FALSE
string,Marketo Social Twitter Photo URL,502,2000,twitterPhotoURL,FALSE
string,Marketo Social LinkedIn Photo URL,503,2000,linkedInPhotoURL,FALSE
integer,Marketo Social Facebook Reach,505,,facebookReach,FALSE
integer,Marketo Social Twitter Reach,506,,twitterReach,FALSE
integer,Marketo Social LinkedIn Reach,507,,linkedInReach,FALSE
integer,Marketo Social Facebook Referred Visits,509,,facebookReferredVisits,FALSE
integer,Marketo Social Twitter Referred Visits,510,,twitterReferredVisits,FALSE
integer,Marketo Social LinkedIn Referred Visits,511,,linkedInReferredVisits,FALSE
integer,Marketo Social Total Referred Visits,513,,totalReferredVisits,TRUE
integer,Marketo Social Facebook Referred Enrollments,514,,facebookReferredEnrollments,FALSE
integer,Marketo Social Twitter Referred Enrollments,515,,twitterReferredEnrollments,FALSE
integer,Marketo Social LinkedIn Referred Enrollments,516,,linkedInReferredEnrollments,FALSE
integer,Marketo Social Total Referred Enrollments,518,,totalReferredEnrollments,TRUE
datetime,Marketo Social Last Referred Visit,519,,lastReferredVisit,FALSE
datetime,Marketo Social Last Referred Enrollment,520,,lastReferredEnrollment,FALSE
string,Marketo Social Syndication Id,521,2000,syndicationId,FALSE
string,Marketo Social Facebook Id,522,2000,facebookId,FALSE
string,Marketo Social Twitter Id,523,2000,twitterId,FALSE
string,Marketo Social LinkedIn Id,524,2000,linkedInId,FALSE
reference,Acquisition Program,571,,acquisitionProgramId,FALSE
datetime,Acquisition Date,573,,mktoAcquisitionDate,FALSE
string,I am a,644,255,iama,FALSE
integer,MEMBER_RATING,645,,MEMBERRATING,FALSE
string,UTM-Campaign-Source,646,255,uTMCampaignSource,FALSE
string,UTM-Campaign-Medium,647,255,uTMCampaignMedium,FALSE
string,UTM-Campaign-Name,648,255,uTMCampaignName,FALSE
string,UTM-Campaign-Term,649,255,uTMCampaignTerm,FALSE
string,UTM-Campaign-Content,650,255,uTMCampaignContent,FALSE
string,External Company Id,653,50,externalCompanyId,FALSE
string,MarketoBU,657,255,marketoBU,FALSE
string,Subscribe CTE,664,255,pCCEDSubscription,FALSE
string,_Dynamic Content #03,665,255,pCWSESubscription,FALSE
string,Subscribe FSW,671,255,pCSCWSubscription,FALSE
string,Event Status,674,255,pCVETSubscription,FALSE
string,Subscribe DIN,676,255,pCUCALAthleticsSubscription,FALSE
date,Event Date,691,,eventDate,FALSE
string,Event Name,692,255,eventName,FALSE
string,Subscribe CSM,694,255,subscribeCSM,FALSE
string,Subscribe SSE,695,255,subscribeSSE,FALSE
string,Subscribe SCPA,696,255,subscribeSCPA,FALSE
string,Subscribe ODC,697,255,subscribeODC,FALSE
string,Subscribe UNV,698,255,subscribeUNV,FALSE
string,Subscribe HSB,699,255,subscribeHSB,FALSE
string,Subscribe LAW,700,255,subscribeLAW,FALSE
string,_Dynamic Content #02,701,255,subscribeCED,FALSE
string,Subscribe WSE,702,255,subscribeWSE,FALSE
string,Subscribe SCI,703,255,subscribeSCI,FALSE
string,Subscribe QTR,704,255,subscribeQTR,FALSE
string,Subscribe EVD,705,255,subscribeEVD,FALSE
string,Subscribe CAMP,706,255,subscribeCAMP,FALSE
string,Subscribe NUR,707,255,subscribeNUR,FALSE
string,Subscribe VET,708,255,subscribeVET,FALSE
string,Subscribe KIN,709,255,subscribeKIN,FALSE
string,_Dynamic Content #01,710,255,subscribeATH,FALSE
string,Subscribe SPP,711,255,subscribeSPP,FALSE
string,Subscribe SCW,712,255,subscribeSCW,FALSE
string,Subscribe ART,713,255,subscribeART,FALSE
string,External Sales Person Id,714,50,externalSalesPersonId,FALSE
string,REID,719,255,reID,FALSE
string,Current School,720,255,currentSchool,FALSE
string,Current Education Level,721,255,currentEducationLevel,FALSE
string,Program of Interest 1,722,255,programofInterest1,FALSE
string,Program of Interest 2,723,255,programofInterest2,FALSE
string,Program of Interest 3,724,255,programofInterest3,FALSE
string,Program of Interest 4,725,255,programofInterest4,FALSE
integer,_Resource Counter,728,,resourceCounter,FALSE
string,_Subscription Temp,729,255,subscriptionTemp,FALSE
string,Faculty,730,255,faculty,FALSE
string,UCID,731,255,uCID,FALSE
text,Dietary Restrictions,732,,dietaryRestrictions,FALSE
string,Category,762,255,category,FALSE
string,Grad Year,763,255,gradYear,FALSE
string,_Global Subscription Preferences,817,255,globalSubscriptionPreferences,FALSE
string,Last Form Fill,818,255,lastFormFill,FALSE
date,CEM Acquisition Date,819,,cEMAcquisitionDate,FALSE
string,Added By,825,255,addedBy,FALSE
email,Temp Email Address,840,255,tempEmailAddress,FALSE
string,Marketo Time Zone,862,255,marketoTimeZone,TRUE
